"";"i";"j";"Fij";"Fji";"FSij";"FBij";"FAij";"minFij";"maxFij";"rangeFij";"FDij"
"1";"ABW";"ABW";0;0;0;0;0;0;0;0;0
"2";"ABW";"AFG";0;0;0;0;0;0;0;0;0
"3";"ABW";"AGO";0;0;0;0;0;0;0;0;0
"4";"ABW";"AIA";0;0;0;0;0;0;0;0;0
"5";"ABW";"ALB";0;0;0;0;0;0;0;0;0
"6";"ABW";"AND";0;0;0;0;0;0;0;0;0
"7";"ABW";"ARE";0;0;0;0;0;0;0;0;0
"8";"ABW";"ARG";1;0;1;-1;-1;0;1;1;1
"9";"ABW";"ARM";0;0;0;0;0;0;0;0;0
"10";"ABW";"ASM";0;0;0;0;0;0;0;0;0
"11";"ABW";"ATG";4;0;4;-4;-1;0;4;4;1
"12";"ABW";"AUS";10;0;10;-10;-1;0;10;10;1
"13";"ABW";"AUT";0;0;0;0;0;0;0;0;0
"14";"ABW";"AZE";0;0;0;0;0;0;0;0;0
"15";"ABW";"BDI";0;0;0;0;0;0;0;0;0
"16";"ABW";"BEL";0;0;0;0;0;0;0;0;0
"17";"ABW";"BEN";0;0;0;0;0;0;0;0;0
"18";"ABW";"BES";2415;25;2440;-2390;-0,979508196721312;25;2415;2390;0,979508196721312
"19";"ABW";"BFA";0;0;0;0;0;0;0;0;0
"20";"ABW";"BGD";0;0;0;0;0;0;0;0;0
"21";"ABW";"BGR";0;0;0;0;0;0;0;0;0
"22";"ABW";"BHR";0;0;0;0;0;0;0;0;0
"23";"ABW";"BHS";0;0;0;0;0;0;0;0;0
"24";"ABW";"BIH";0;0;0;0;0;0;0;0;0
"25";"ABW";"BLR";0;0;0;0;0;0;0;0;0
"26";"ABW";"BLZ";0;0;0;0;0;0;0;0;0
"27";"ABW";"BMU";0;0;0;0;0;0;0;0;0
"28";"ABW";"BOL";0;0;0;0;0;0;0;0;0
"29";"ABW";"BRA";0;0;0;0;0;0;0;0;0
"30";"ABW";"BRB";0;0;0;0;0;0;0;0;0
"31";"ABW";"BRN";0;0;0;0;0;0;0;0;0
"32";"ABW";"BTN";0;0;0;0;0;0;0;0;0
"33";"ABW";"BWA";0;0;0;0;0;0;0;0;0
"34";"ABW";"CAF";0;0;0;0;0;0;0;0;0
"35";"ABW";"CAN";269;0;269;-269;-1;0;269;269;1
"36";"ABW";"CHE";0;0;0;0;0;0;0;0;0
"37";"ABW";"CHL";26;0;26;-26;-1;0;26;26;1
"38";"ABW";"CHN";0;93;93;93;1;0;93;93;1
"39";"ABW";"CIV";0;0;0;0;0;0;0;0;0
"40";"ABW";"CMR";0;0;0;0;0;0;0;0;0
"41";"ABW";"COD";0;0;0;0;0;0;0;0;0
"42";"ABW";"COG";0;0;0;0;0;0;0;0;0
"43";"ABW";"COK";0;0;0;0;0;0;0;0;0
"44";"ABW";"COL";132;1171;1303;1039;0,797390636991558;132;1171;1039;0,797390636991558
"45";"ABW";"COM";0;0;0;0;0;0;0;0;0
"46";"ABW";"CPV";0;0;0;0;0;0;0;0;0
"47";"ABW";"CRI";9;0;9;-9;-1;0;9;9;1
"48";"ABW";"CUB";0;0;0;0;0;0;0;0;0
"49";"ABW";"CUW";0;207;207;207;1;0;207;207;1
"50";"ABW";"CYM";0;0;0;0;0;0;0;0;0
"51";"ABW";"CYP";0;0;0;0;0;0;0;0;0
"52";"ABW";"CZE";0;0;0;0;0;0;0;0;0
"53";"ABW";"DEU";0;0;0;0;0;0;0;0;0
"54";"ABW";"DJI";0;0;0;0;0;0;0;0;0
