"i","j","fij"
"PAK","AFG",106528
"TJK","AFG",4596
"UZB","AFG",229
"CAN","ALB",856
"GRC","ALB",29852
"ITA","ALB",8405
"MKD","ALB",504
"TUR","ALB",1852
"USA","ALB",2242
"FRA","DZA",551
"DEU","DZA",772
"IDN","DZA",1437
"IRQ","DZA",7546
"ITA","DZA",735
"JOR","DZA",2247
"KWT","DZA",1189
"LBN","DZA",1217
"LBY","DZA",2314
"MYS","DZA",871
"RUS","DZA",797
"SAU","DZA",3907
"SOM","DZA",11520
"PSE","DZA",31534
"SDN","DZA",1588
"SYR","DZA",3058
"GBR","DZA",794
"USA","DZA",1087
"ESH","DZA",165223
"YEM","DZA",2353
"CHN","ASM",598
"FJI","ASM",332
"NZL","ASM",724
"PHL","ASM",1116
"KOR","ASM",295
"WSM","ASM",15830
"TKL","ASM",20
"TON","ASM",1289
"USA","ASM",2550
"VNM","ASM",211
"ARG","AND",727
"AUS","AND",69
"BEL","AND",229
"CHL","AND",228
"DNK","AND",119
"FRA","AND",4151
"DEU","AND",361
"ITA","AND",488
"MAR","AND",501
"NLD","AND",260
"PHL","AND",453
"PRT","AND",11415
"ESP","AND",21958
"SWE","AND",52
"CHE","AND",85
"GBR","AND",1124
"USA","AND",112
"URY","AND",108
"CPV","AGO",9400
"TCD","AGO",1928
"COG","AGO",1081
"CIV","AGO",12896
"COD","AGO",92242
"GIN","AGO",18504
"MOZ","AGO",254
"NAM","AGO",909
"PRT","AGO",5711
"RWA","AGO",1286
"STP","AGO",6990
"ZAF","AGO",6421
"ZMB","AGO",314
"CAN","AIA",59
"DOM","AIA",677
"GUY","AIA",396
"JAM","AIA",481
"MSR","AIA",295
"KNA","AIA",937
"GBR","AIA",433
"USA","AIA",471
"VIR","AIA",421
"AIA","ATG",40
"ABW","ATG",5
"AUS","ATG",7
"BHS","ATG",2
"BRB","ATG",314
"BLZ","ATG",14
"BMU","ATG",14
"BES","ATG",11
"VGB","ATG",101
"CAN","ATG",451
"CHN","ATG",139
"CUB","ATG",20
"CUW","ATG",19
"DMA","ATG",4934
"DOM","ATG",1855
"EGY","ATG",10
"ETH","ATG",93
"FRA","ATG",42
"GUF","ATG",5
"DEU","ATG",86
"GHA","ATG",32
"GRD","ATG",199
"GLP","ATG",79
"GUY","ATG",6731
"HTI","ATG",34
"HND","ATG",7
"IND","ATG",82
"ITA","ATG",74
"JAM","ATG",4149
"JPN","ATG",20
"LBN","ATG",57
"MTQ","ATG",5
"MEX","ATG",5
"MSR","ATG",1183
"NLD","ATG",16
"NZL","ATG",12
"NGA","ATG",41
"PAK","ATG",0
"PRI","ATG",55
"KNA","ATG",495
"LCA","ATG",703
"VCT","ATG",954
"SXM","ATG",23
"ZAF","ATG",46
"ESP","ATG",12
"SUR","ATG",46
"SYR","ATG",253
"TTO","ATG",748
"TCA","ATG",6
"GBR","ATG",1033
"USA","ATG",2731
"VIR","ATG",739
"VEN","ATG",40
"AFG","ARG",9
"ALB","ARG",67
"DZA","ARG",105
"AND","ARG",1
"AGO","ARG",9
"ARM","ARG",570
"ABW","ARG",1
"AUS","ARG",279
"AUT","ARG",1039
"BHR","ARG",12
"BRB","ARG",7
"BLR","ARG",309
"BEL","ARG",546
"BLZ","ARG",6
"BOL","ARG",426394
"BRA","ARG",49647
"BRN","ARG",1
"BGR","ARG",300
"BFA","ARG",11
"CPV","ARG",24
"KHM","ARG",20
"CAN","ARG",539
"CHL","ARG",216855
"CHN","ARG",14649
"HKG","ARG",4
"COL","ARG",8791
"COG","ARG",42
"CRI","ARG",125
"CIV","ARG",1
"HRV","ARG",1003
"CUB","ARG",1125
"CYP","ARG",47
"CZE","ARG",1824
"PRK","ARG",14
"DNK","ARG",249
"DMA","ARG",4
"DOM","ARG",695
"ECU","ARG",971
"EGY","ARG",242
"SLV","ARG",74
"EST","ARG",49
"ETH","ARG",32
"FJI","ARG",1
"FIN","ARG",71
"FRA","ARG",8303
"DEU","ARG",9404
"GIB","ARG",14
"GRC","ARG",1034
"GRL","ARG",15
"GRD","ARG",11
"GTM","ARG",97
"GIN","ARG",1
"HTI","ARG",41
"HND","ARG",67
"HUN","ARG",830
"ISL","ARG",8
"IND","ARG",98
"IDN","ARG",21
"IRN","ARG",139
"IRQ","ARG",37
"IRL","ARG",65
"ISR","ARG",566
"ITA","ARG",155008
"JAM","ARG",11
"JPN","ARG",4531
"JOR","ARG",74
"KEN","ARG",2
"LAO","ARG",287
"LVA","ARG",126
"LBN","ARG",804
"LBY","ARG",51
"LIE","ARG",79
"LTU","ARG",398
"LUX","ARG",97
"MDG","ARG",7
"MYS","ARG",2
"MLT","ARG",2
"MEX","ARG",1475
"FSM","ARG",4
"MCO","ARG",10
"MAR","ARG",215
"MOZ","ARG",11
"MMR","ARG",9
"NAM","ARG",2
"NLD","ARG",393
"NZL","ARG",11
"NIC","ARG",92
"NER","ARG",1
"NGA","ARG",43
"MKD","ARG",1515
"NOR","ARG",59
"PAK","ARG",5
"PAN","ARG",163
"PRY","ARG",690948
"PER","ARG",198744
"PHL","ARG",59
"POL","ARG",7443
"PRT","ARG",5047
"PRI","ARG",76
"KOR","ARG",8296
"MDA","ARG",463
"ROU","ARG",1096
"RUS","ARG",1917
"SMR","ARG",16
"SAU","ARG",81
"SGP","ARG",2
"SVN","ARG",824
"SOM","ARG",2
"ZAF","ARG",128
"ESP","ARG",99769
"LKA","ARG",2
"SDN","ARG",8
"SUR","ARG",5
"SWE","ARG",207
"CHE","ARG",807
"SYR","ARG",1144
"THA","ARG",61
"TTO","ARG",34
"TUN","ARG",45
"TUR","ARG",646
"TUV","ARG",4
"UGA","ARG",1
"UKR","ARG",4485
"GBR","ARG",959
"TZA","ARG",1
"USA","ARG",5225
"URY","ARG",135076
"VUT","ARG",8
"VEN","ARG",91315
"VNM","ARG",5
"ZMB","ARG",1
"ZWE","ARG",2
"AZE","ARM",78478
"BLR","ARM",304
"GEO","ARM",37886
"DEU","ARM",631
"GRC","ARM",1015
"IRN","ARM",8090
"IRQ","ARM",1077
"KAZ","ARM",786
"LBN","ARM",848
"RUS","ARM",19065
"SYR","ARM",17401
"TUR","ARM",539
"TKM","ARM",811
"UKR","ARM",2450
"UZB","ARM",983
"BES","ABW",300
"CHN","ABW",1140
"COL","ABW",9874
"CUW","ABW",2483
"DMA","ABW",108
"DOM","ABW",4377
"GRD","ABW",260
"GUY","ABW",292
"HTI","ABW",1650
"IND","ABW",333
"JAM","ABW",754
"NLD","ABW",4638
"NIC","ABW",108
"PER","ABW",1147
"PHL","ABW",1015
"PRT","ABW",165
"VCT","ABW",114
"SXM","ABW",709
"SUR","ABW",1352
"TUR","ABW",10
"USA","ABW",619
"VEN","ABW",3438
"AFG","AUS",59798
"ALB","AUS",3872
"DZA","AUS",1745
"ASM","AUS",0
"AND","AUS",31
"AGO","AUS",592
"ATG","AUS",63
"ARG","AUS",17583
"ARM","AUS",1629
"ABW","AUS",74
"AUT","AUS",18091
"AZE","AUS",740
"BHS","AUS",327
"BHR","AUS",2020
"BGD","AUS",51968
"BRB","AUS",476
"BLR","AUS",2391
"BEL","AUS",7924
"BLZ","AUS",84
"BEN","AUS",116
"BMU","AUS",613
"BTN","AUS",7797
"BOL","AUS",1163
"BIH","AUS",37802
"BWA","AUS",1512
"BRA","AUS",42552
"VGB","AUS",0
"BRN","AUS",3237
